epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,106.065,0.5595,1.02648,0.53403,1.00796,0,0.99601,0.96667,0.96537,0.91076,0.99601,0.96667,0.96537,0.92336,0.40443,0.57929,0.45758,0.4518,0,0.0014456,0.0014456,0.0014456
30,109.898,0.56755,0.99112,0.54537,0.99971,0,0.96176,0.96667,0.96297,0.8528,0.96176,0.96667,0.96297,0.9232,0.5638,0.57078,0.52925,0.52235,0,0.0014258,0.0014258,0.0014258
31,113.496,0.54281,1.06669,0.53515,0.99991,0,0.98816,0.96667,0.96537,0.87236,0.98816,0.96667,0.96537,0.91595,0.45126,0.57359,0.3865,0.46445,0,0.001406,0.001406,0.001406
32,116.877,0.54068,1.02573,0.52869,1.00012,0,0.99776,0.96667,0.96537,0.88731,0.99776,0.96667,0.96537,0.9422,0.43864,0.41511,0.3774,0.46945,0,0.0013862,0.0013862,0.0013862
33,120.11,0.54195,1.0619,0.51267,1.01163,0,0.98644,0.96667,0.96524,0.9095,0.98644,0.96667,0.96524,0.9207,0.35154,0.59545,0.36607,0.42934,0,0.0013664,0.0013664,0.0013664
34,123.534,0.52885,1.03725,0.52731,1.00595,0,0.9615,0.96667,0.96282,0.86386,0.9615,0.96667,0.96282,0.91755,0.4982,1.10955,0.55314,0.46669,0,0.0013466,0.0013466,0.0013466
35,127.194,0.51269,0.93385,0.50293,0.98875,0,0.99335,0.96667,0.96537,0.88469,0.99335,0.96667,0.96537,0.89476,0.4051,0.57274,0.37753,0.46595,0,0.0013268,0.0013268,0.0013268
36,130.69,0.51301,0.9374,0.49961,0.98492,0,0.99617,0.96667,0.96556,0.87888,0.99617,0.96667,0.96556,0.90483,0.37797,0.4331,0.37336,0.43161,0,0.001307,0.001307,0.001307
37,134.17,0.54915,1.06216,0.51299,1.00138,0,0.9971,0.96667,0.96586,0.90226,0.9971,0.96667,0.96586,0.93147,0.40756,0.45336,0.37418,0.44174,0,0.0012872,0.0012872,0.0012872
38,137.711,0.52042,0.91982,0.50181,0.98976,0,0.99732,0.96667,0.96536,0.92152,0.99732,0.96667,0.96536,0.90379,0.39057,0.53587,0.39942,0.44245,0,0.0012674,0.0012674,0.0012674
39,141.254,0.53088,1.06183,0.50883,1.00278,0,0.99634,0.96667,0.96519,0.85592,0.99634,0.96667,0.96519,0.86942,0.54823,0.74225,0.54649,0.49574,0,0.0012476,0.0012476,0.0012476
40,144.69,0.48941,0.99511,0.47538,0.98628,0,0.99705,0.96667,0.96519,0.89179,0.99705,0.96667,0.96519,0.90709,0.48044,0.63366,0.56927,0.46886,0,0.0012278,0.0012278,0.0012278
41,148.122,0.49849,1.01146,0.46896,0.98107,0,0.99693,0.96667,0.96518,0.90273,0.99693,0.96667,0.96518,0.92315,0.44666,0.57219,0.46332,0.45631,0,0.001208,0.001208,0.001208
42,151.651,0.51774,1.01178,0.49552,1.00488,0,0.9665,0.96667,0.96529,0.895,0.9665,0.96667,0.96529,0.86857,0.44732,0.98953,0.40279,0.46785,0,0.0011882,0.0011882,0.0011882
43,154.965,0.47961,0.84653,0.46081,0.98328,0,0.99221,0.96667,0.96532,0.92117,0.99221,0.96667,0.96532,0.86229,0.29961,0.87631,0.31945,0.40846,0,0.0011684,0.0011684,0.0011684
44,158.676,0.53506,1.02467,0.5005,1.00537,0,0.99466,0.96667,0.96538,0.93251,0.99466,0.96667,0.96538,0.93107,0.2627,0.4904,0.28424,0.39807,0,0.0011486,0.0011486,0.0011486
45,166.255,0.52198,1.00503,0.48879,0.99082,0,0.99572,0.96667,0.96565,0.85766,0.99572,0.96667,0.96565,0.92057,0.44232,0.5577,0.34026,0.45113,0,0.0011288,0.0011288,0.0011288
46,175.262,0.50832,0.97774,0.49909,0.98771,0,0.99748,0.96667,0.96601,0.91645,0.99748,0.96667,0.96601,0.90031,0.36594,0.59668,0.28715,0.42944,0,0.001109,0.001109,0.001109
47,184.42,0.49307,0.84911,0.47839,0.98791,0,0.99778,0.96667,0.96579,0.92097,0.99778,0.96667,0.96579,0.90169,0.34692,0.57727,0.29793,0.43314,0,0.0010892,0.0010892,0.0010892
48,193.559,0.5005,1.0041,0.47732,0.98647,0,0.98857,0.96667,0.9654,0.88422,0.98857,0.96667,0.9654,0.90459,0.39433,0.66707,0.33473,0.44287,0,0.0010694,0.0010694,0.0010694
49,202.778,0.45539,0.85294,0.44611,0.97327,0,1,0.96534,0.96537,0.90182,1,0.96534,0.96537,0.90688,0.36286,0.70314,0.32573,0.42908,0,0.0010496,0.0010496,0.0010496
50,210.761,0.47462,0.94897,0.45613,0.98996,0,0.99375,0.96667,0.96573,0.89302,0.99375,0.96667,0.96573,0.93391,0.43549,0.4361,0.34187,0.45552,0,0.0010298,0.0010298,0.0010298
51,216.862,0.49226,0.95316,0.46305,0.98768,0,0.9974,0.96667,0.96579,0.94354,0.9974,0.96667,0.96579,0.94328,0.32963,0.46183,0.28773,0.4173,0,0.00101,0.00101,0.00101
52,221.387,0.48606,0.89237,0.44468,0.98274,0,0.99674,0.96667,0.96571,0.90835,0.99674,0.96667,0.96571,0.89066,0.38054,0.65772,0.28361,0.43394,0,0.0009902,0.0009902,0.0009902
53,225.008,0.49188,0.94929,0.463,0.98106,0,0.99434,0.96667,0.96586,0.93419,0.99434,0.96667,0.96586,0.91163,0.34721,0.63654,0.27785,0.42513,0,0.0009704,0.0009704,0.0009704
54,228.42,0.51662,0.92284,0.46386,0.99303,0,0.99372,0.96667,0.96592,0.8823,0.99372,0.96667,0.96592,0.9102,0.41324,0.52524,0.30785,0.44608,0,0.0009506,0.0009506,0.0009506
55,231.963,0.52047,0.90449,0.48848,0.99757,0,0.99635,0.96667,0.96573,0.91182,0.99635,0.96667,0.96573,0.9345,0.33216,0.47695,0.2723,0.41779,0,0.0009308,0.0009308,0.0009308
56,235.682,0.4625,0.8502,0.43998,0.97274,0,0.99677,0.96667,0.96616,0.91256,0.99677,0.96667,0.96616,0.945,0.35843,0.46959,0.29426,0.41266,0,0.000911,0.000911,0.000911
57,239.737,0.45441,1.00293,0.43179,0.97589,0,0.99741,0.96667,0.96664,0.94641,0.99741,0.96667,0.96664,0.93121,0.30208,0.53455,0.25453,0.3981,0,0.0008912,0.0008912,0.0008912
58,243.475,0.4744,1.00715,0.44294,0.98092,0,0.997,0.96667,0.96575,0.91053,0.997,0.96667,0.96575,0.9221,0.38636,0.51713,0.31263,0.43135,0,0.0008714,0.0008714,0.0008714
59,247.207,0.46479,0.85956,0.44264,0.97566,0,0.99748,0.96667,0.96556,0.90941,0.99748,0.96667,0.96556,0.91077,0.37616,0.51023,0.30148,0.42329,0,0.0008516,0.0008516,0.0008516
60,250.88,0.45321,0.8155,0.4302,0.96843,0,0.99759,0.96667,0.96602,0.93447,0.99759,0.96667,0.96602,0.91504,0.30553,0.55209,0.24636,0.40043,0,0.0008318,0.0008318,0.0008318
61,254.211,0.43748,0.84338,0.42247,0.97177,0,0.99573,0.96667,0.96602,0.94026,0.99573,0.96667,0.96602,0.90999,0.30238,0.57306,0.26632,0.40083,0,0.000812,0.000812,0.000812
62,257.714,0.4571,0.94862,0.42784,0.97407,0,0.99619,0.96667,0.96583,0.91661,0.99619,0.96667,0.96583,0.90688,0.30145,0.5546,0.28037,0.40122,0,0.0007922,0.0007922,0.0007922
